steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8
0.0,14.174375534057617,10.455537796020508,10.818490982055664,15.313043594360352,10.870092391967773,9.880674362182617,9.46033763885498,10.745782852172852,10.342428207397461
63.1578947368421,14.174375534057617,10.455537796020508,10.818490982055664,15.313043594360352,10.870092391967773,9.880674362182617,9.46033763885498,10.745782852172852,10.342428207397461
126.3157894736842,13.754102787404545,10.455537796020508,11.293849068708639,16.144404241766964,12.045182199335867,12.213232098603426,9.46033763885498,16.456842672441525,11.786124341587985
189.4736842105263,17.543012526333438,10.455537796020508,69.82773679007983,28.67660595218748,12.509748841140816,22.227406402211503,9.46033763885498,48.66435067674556,12.698107320088122
252.6315789473684,23.798131495034298,10.455537796020508,155.22788195994167,138.36556284828794,20.70713432765784,70.0941082510659,9.46033763885498,77.22190571763579,38.97255619469976
315.7894736842105,20.05096049420784,10.455537796020508,162.3898531520554,169.72992857546265,33.647443602345746,95.51966065752211,9.46033763885498,204.4710312988684,45.79216690552451
378.9473684210526,121.69888562935054,13.097357519159695,143.08475539081664,229.37065866298428,103.85842196787915,124.45594859526878,13.052317312666654,261.1800008158241,91.76626996680126
442.10526315789474,102.14642768787166,36.77412475634768,176.18116953767435,287.73552645723345,202.1358553875969,203.9027107405563,26.902032293769494,254.61281211951015,181.34547360357323
505.2631578947368,159.1384037429633,182.92327638221752,187.2723426973895,340.87206356869484,278.79220644239257,263.48427227289005,78.36417261991076,255.24440804606812,240.3470785758733
568.421052631579,223.9897892758595,243.83438877501558,197.962927822274,414.80162146813706,348.1321825884463,318.71372222706464,228.6882565002063,280.96611393720747,272.0196047470126
631.578947368421,281.2186303797852,288.078000288907,217.41978604917387,479.46835904442486,409.66930589988624,373.01876853220585,296.3221194552892,255.93841819481014,324.62602651966205
694.7368421052631,282.88112260065344,364.0980070567578,265.5167346038791,504.331077941362,446.99396662688235,405.72082667997086,379.07578448057615,339.7150752047414,364.61243377603944
757.8947368421052,347.897500148674,431.1069331275411,309.39404687301044,579.5433396651471,482.09702837133506,427.79019206943815,456.7736307982793,453.4933524119561,392.0124814400004
821.0526315789473,393.3758464168107,477.6786211612429,349.57478082727414,637.1629302299752,514.2780096739142,447.2370087668992,507.0989423066631,506.8125516307001,416.4504720806599
884.2105263157895,425.60061611166384,503.19430461411605,380.2083383443548,668.4502403051525,549.1726325409591,462.260475021311,546.4920338962693,492.334513712118,451.1284344071331
947.3684210526316,448.8893031322336,539.5452810107922,407.1330706795546,694.2503360117652,580.1578866545592,478.3425239436103,560.7307937170599,548.4030491565377,484.68084285635064
1010.5263157894736,466.83934423836604,562.5725555925079,434.7086493339499,708.617610157861,606.0799107507946,495.14696248378715,600.440471303539,574.8574334375216,508.29756733835836
1073.6842105263158,486.74128240340474,593.5955405562502,455.4102321804813,724.0574712300751,636.7210329810364,512.6854130486038,624.4596866481464,591.5848968838285,534.2358765417528
1136.842105263158,501.87939453125,611.2731999984394,470.4335021972656,748.5186767578125,666.8865966796875,531.2864379882812,658.9106075762077,628.551513671875,564.5725708007812
1200.0,501.87939453125,641.6700610067085,470.4335021972656,748.5186767578125,666.8865966796875,531.2864379882812,673.0959383606327,628.551513671875,564.5725708007812
