steps,trial_0,trial_1,trial_2
0.0,6.0297064781188965,9.599197387695312,10.541629791259766
63.1578947368421,6.0297064781188965,9.599197387695312,10.541629791259766
126.3157894736842,9.5970471724774,10.318358173994316,10.541629791259766
189.4736842105263,62.88652748846931,49.341314912106995,10.541629791259766
252.6315789473684,171.66720396506227,152.19463406586925,10.541629791259766
315.7894736842105,184.66133653069497,222.89729800001413,10.541629791259766
378.9473684210526,208.6697196268937,258.97452405850737,16.40351516719047
442.10526315789474,253.19172675969838,341.97052393464855,141.00101974974888
505.2631578947368,302.41567959593243,410.25247749084195,95.94087263340998
568.421052631579,337.59805900627777,447.51502148210113,167.7424312727422
631.578947368421,362.49339527113517,481.9070772201966,179.08001932790248
694.7368421052631,382.5541604400923,497.4205143320483,191.67794007166356
757.8947368421052,397.5088100643685,518.4970443686656,209.85391085473447
821.0526315789473,409.5746863619034,537.9644392548755,232.6744452053013
884.2105263157895,425.2733686795273,555.0286112265926,265.55966922979235
947.3684210526316,457.6699523925781,572.5419921875,307.7495420090366
1010.5263157894736,457.6699523925781,572.5419921875,345.9228657927127
1073.6842105263158,457.6699523925781,572.5419921875,392.33846468079093
1136.842105263158,457.6699523925781,572.5419921875,421.1512502745792
1200.0,457.6699523925781,572.5419921875,450.94366455078125
