steps,trial_0,trial_1,trial_2,trial_3,trial_4
0.0,,,,,
63.1578947368421,,,,,
126.3157894736842,364.35296651048657,,,366.64789054389195,381.93366656050864
189.4736842105263,438.2911908173664,379.814931005851,420.788806363524,399.83195817282535,436.1572283264832
252.6315789473684,505.04899201876145,384.2277507717551,421.42091955767364,437.47117732631386,482.039520263986
315.7894736842105,547.9099573508108,442.23370454877363,448.92037075332496,490.20306975241857,495.2940287087488
378.9473684210526,573.3479515836087,487.3064288961478,487.779848714371,518.1705283516023,506.281362598398
442.10526315789474,572.4328649540154,497.1511664171925,508.5831164521528,507.7398487557856,513.163785509276
505.2631578947368,579.8125687906881,515.810149160861,526.2873079323565,526.3822454917533,526.7510938415583
568.421052631579,593.5012930084891,546.4297407403628,550.2639959390226,568.2628774505738,546.8616276777772
631.578947368421,584.3631950629947,544.9401617304501,566.9096623093684,579.2464301074114,557.1324899218735
694.7368421052631,567.0545036189811,520.4375958874059,544.6985093467108,578.2529155336214,562.415965007054
757.8947368421052,561.5319766818753,514.7845594722045,544.3960935838805,552.8042745548595,583.76245783617
821.0526315789473,558.3136382991138,516.3131676895508,589.364570916218,525.4670246546101,608.6436004956632
884.2105263157895,568.9672846780037,572.7897449804974,597.5133640223438,518.7701403079706,626.3719248257844
947.3684210526316,569.883923098051,638.3355802320368,567.7121229194117,519.9930412027347,638.9485943812331
1010.5263157894736,538.8690787575817,619.2046032008801,574.1915408497961,548.8576540864591,617.1992818227206
1073.6842105263158,520.4139404296875,601.420654296875,599.6025418409781,566.70458984375,601.1956176757812
1136.842105263158,520.4139404296875,601.420654296875,604.6422119140625,566.70458984375,601.1956176757812
1200.0,520.4139404296875,601.420654296875,604.6422119140625,566.70458984375,601.1956176757812
