steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28
0.0,37.12565612792969,22.87232780456543,37.52940368652344,38.41065216064453,33.891902923583984,23.863590240478516,23.142478942871094,36.784210205078125,35.11958312988281,22.382774353027344,24.040889739990234,23.091468811035156,39.81968688964844,41.34660339355469,52.022972106933594,40.24427795410156,43.169212341308594,40.462615966796875,58.299835205078125,55.01293182373047,38.201175689697266,32.28122329711914,37.78702926635742,29.736867904663086,34.27978515625,45.295074462890625,35.234588623046875,35.907318115234375,43.102142333984375
63.1578947368421,37.12565612792969,22.87232780456543,37.52940368652344,38.41065216064453,33.891902923583984,23.863590240478516,23.142478942871094,36.784210205078125,35.11958312988281,22.382774353027344,24.040889739990234,23.091468811035156,39.81968688964844,41.34660339355469,52.022972106933594,40.24427795410156,43.169212341308594,40.462615966796875,58.299835205078125,55.01293182373047,38.201175689697266,32.28122329711914,37.78702926635742,29.736867904663086,34.27978515625,45.295074462890625,35.234588623046875,35.907318115234375,43.102142333984375
126.3157894736842,57.40125849544485,29.248474778407687,43.11545561665672,43.542501657008245,67.26731442499711,33.62557037967326,31.429287529693898,61.82593051593912,45.37146131192935,36.52525021044564,39.2259514590351,45.291392516406866,42.851688206708666,69.90765321480677,56.87654240271648,63.304495255329854,46.72914018837537,49.36752706258859,58.299835205078125,54.68640940865825,38.201175689697266,39.52650817629225,45.02907935810201,38.57591276612771,46.1585444388659,51.08947200922447,61.00409911098881,44.45470770669079,43.102142333984375
189.4736842105263,92.54854385869854,477.5053079495314,65.94495038110384,112.80627735018538,293.7137751070527,205.13538619836237,62.265394335221075,325.5337869437833,141.33024798756344,79.2901725901718,198.01541419293716,86.09679440666784,102.48292826791226,518.7108783297757,177.54958809115612,520.7900829873016,86.68810647245374,137.25329913966033,58.299835205078125,223.96094005414088,38.201175689697266,97.69100586152999,63.97857837259286,97.20920360431722,131.90572136708255,90.5183648668039,230.44852192322202,287.6626282179723,43.102142333984375
252.6315789473684,240.21109677421188,937.341960166838,114.8202216063301,613.5968233451247,807.8427763460816,762.1557092341841,452.62228321831867,837.4216509929697,572.0249342798609,237.1050321982084,776.3794474613458,133.71829828803985,525.2114462289121,923.6640176294751,699.6420664581124,921.7499040267601,88.7435969914572,715.9599753641018,58.299835205078125,330.95215276078574,38.201175689697266,437.1129612002634,74.3211552920764,517.1737478108428,306.9807727772384,113.31595792944893,679.8003177901268,853.485535472994,43.102142333984375
315.7894736842105,886.1080516994557,978.9782107142938,332.86899820027793,952.9987219669129,971.1659055985912,964.4407787789575,877.4218651874094,974.8781996769367,942.2593216118349,883.2880868685404,973.7716009822752,175.6266017581403,972.2548512426085,974.3482554724638,962.000803950904,978.618190285757,454.47488505404806,961.3735542829478,58.299835205078125,945.6865877954494,38.201175689697266,929.310214760819,136.54668808298135,946.493982606244,509.50492528738283,355.6557444686934,986.1107319108025,970.310096678232,43.102142333984375
378.9473684210526,952.0002732477312,212.94878897690782,916.0361374182254,918.7091439922787,981.2326230809662,850.9883028809592,952.8620568636433,990.794474965875,988.3091254781668,953.397117495518,890.4894251657686,477.0962718091025,983.672939049936,843.6818935572393,985.852887782262,987.8866572320294,901.928214281749,380.4430575594413,56.66296671329217,979.138655658032,122.59109361393553,970.3887568006397,196.9215772446476,893.4158219735128,686.4015393093404,660.7012698642507,989.03263365236,943.676350234397,55.03779657447006
442.10526315789474,959.1243625456428,989.7518429197277,609.7229380464316,669.1021210841709,982.3942078892354,399.1065067593795,972.6850382020069,991.7046403563792,993.2139995572128,950.8265829476178,594.9137032988247,822.9309062419397,992.979465640225,387.26182946605036,986.9576961304115,994.4301067019367,830.6380332172923,426.0216847183093,89.51731275685192,987.9379161898302,352.90937698984413,643.3058964634408,445.3024765901084,986.3896653420105,579.2413801030264,567.660670312848,986.7435010725294,920.3854984412411,190.199632251959
505.2631578947368,981.1237961615872,871.4013236276578,631.8839661891968,421.2702536928484,986.8065999117474,976.163764732087,983.6158679928369,988.6614364111152,297.2785953232209,958.3871484285473,441.16071668189807,926.1313714705639,386.8375398889124,949.8839902990989,988.2019490597457,376.83157191564294,967.9742932559179,839.4064811420303,450.7265149482325,993.5947251490833,613.5608198680836,596.3321303222395,843.4736848294294,456.2589117012841,978.1827225363921,719.7531387266838,928.3353279280708,312.08539275867474,753.4998790898442
568.421052631579,989.1036407822104,961.2356538815712,990.850555282653,850.2719159868927,984.9520246276533,828.9818628940805,988.2062023625431,992.68360617933,914.8446756302427,350.06786625093514,70.14292668479371,937.0938678967119,54.46546248721412,171.67760757090514,988.1103889973926,836.9269598135457,989.6472606862941,698.9092821602969,891.7314915655494,980.0662678327767,982.1019930870127,988.2852669145512,941.6000292319168,879.4663791867122,986.8164231828598,900.6244398409638,963.785797506378,116.1800206386756,983.5647444739508
