steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12
0.0,936.173828125,949.5869140625,912.4755859375,927.943359375,893.2392578125,953.1748046875,959.025390625,924.875,941.6875,948.9921875,939.369140625,947.82421875,939.572265625
63.1578947368421,965.5990046046055,970.703702363019,954.5740915161213,955.7054326087125,948.4199423894142,954.7293200704447,968.37762479975,924.875,959.8278638769714,960.9221768112711,939.369140625,971.6551402592385,941.5695481614507
126.3157894736842,966.3362250503585,973.4003760460046,962.5646057605364,973.1141607678653,967.3084425355858,966.603012716665,971.7539055113791,955.0213256121174,974.4731160663542,974.1554709408477,964.8758624424365,973.5944590384084,974.0997187844785
189.4736842105263,978.9389084323736,976.2982033397803,972.4892496850583,970.1026865862941,980.4432827099153,973.5512105832075,971.6667729014823,975.3044650073773,977.7154571146551,962.7051834415955,973.2362342376957,976.2902454095613,970.5453443716672
252.6315789473684,970.4315342242021,981.8641379376198,970.6248716248546,970.1761615939938,978.8383665203702,970.4146617963468,974.0469251649098,971.1385116154912,981.5216493286267,977.7187329923124,973.4718552639994,979.7365724924457,979.1035084977057
315.7894736842105,980.342487463456,980.753501905427,973.9872386589159,978.7865412393741,979.2434018268993,973.8700783790507,975.9408575033061,975.5542868182573,982.5721335569137,978.9506117683184,975.2021305255548,979.5404102061382,980.0076550519104
378.9473684210526,979.6533203125,983.6946326068654,977.1796875,980.2945905334125,982.5751953125,974.9970703125,983.2558603880799,976.9305546401091,982.8393312141473,978.982421875,974.0757413110343,982.7168692730805,981.3290471924275
442.10526315789474,979.6533203125,976.353515625,977.1796875,979.35546875,982.5751953125,974.9970703125,976.75390625,976.3013927342364,976.0751953125,978.982421875,974.939464330585,979.228515625,978.1083984375
505.2631578947368,979.6533203125,976.353515625,977.1796875,979.35546875,982.5751953125,974.9970703125,976.75390625,976.14453125,976.0751953125,978.982421875,972.953125,979.228515625,978.1083984375
568.421052631579,979.6533203125,976.353515625,977.1796875,979.35546875,982.5751953125,974.9970703125,976.75390625,976.14453125,976.0751953125,978.982421875,972.953125,979.228515625,978.1083984375
631.578947368421,979.6533203125,976.353515625,977.1796875,979.35546875,982.5751953125,974.9970703125,976.75390625,976.14453125,976.0751953125,978.982421875,972.953125,979.228515625,978.1083984375
694.7368421052631,979.6533203125,976.353515625,977.1796875,979.35546875,982.5751953125,974.9970703125,976.75390625,976.14453125,976.0751953125,978.982421875,972.953125,979.228515625,978.1083984375
757.8947368421052,979.6533203125,976.353515625,977.1796875,979.35546875,982.5751953125,974.9970703125,976.75390625,976.14453125,976.0751953125,978.982421875,972.953125,979.228515625,978.1083984375
821.0526315789473,979.6533203125,976.353515625,977.1796875,979.35546875,982.5751953125,974.9970703125,976.75390625,976.14453125,976.0751953125,978.982421875,972.953125,979.228515625,978.1083984375
884.2105263157895,979.6533203125,976.353515625,977.1796875,979.35546875,982.5751953125,974.9970703125,976.75390625,976.14453125,976.0751953125,978.982421875,972.953125,979.228515625,978.1083984375
947.3684210526316,979.6533203125,976.353515625,977.1796875,979.35546875,982.5751953125,974.9970703125,976.75390625,976.14453125,976.0751953125,978.982421875,972.953125,979.228515625,978.1083984375
1010.5263157894736,979.6533203125,976.353515625,977.1796875,979.35546875,982.5751953125,974.9970703125,976.75390625,976.14453125,976.0751953125,978.982421875,972.953125,979.228515625,978.1083984375
1073.6842105263158,979.6533203125,976.353515625,977.1796875,979.35546875,982.5751953125,974.9970703125,976.75390625,976.14453125,976.0751953125,978.982421875,972.953125,979.228515625,978.1083984375
1136.842105263158,979.6533203125,976.353515625,977.1796875,979.35546875,982.5751953125,974.9970703125,976.75390625,976.14453125,976.0751953125,978.982421875,972.953125,979.228515625,978.1083984375
1200.0,979.6533203125,976.353515625,977.1796875,979.35546875,982.5751953125,974.9970703125,976.75390625,976.14453125,976.0751953125,978.982421875,972.953125,979.228515625,978.1083984375
