steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7
0.0,5.059422492980957,1.7345154285430908,3.4437360763549805,4.251049041748047,1.5486639738082886,4.3109211921691895,1.6124894618988037,4.591037750244141
63.1578947368421,5.059422492980957,1.7345154285430908,3.4437360763549805,4.251049041748047,1.5486639738082886,4.3109211921691895,1.6124894618988037,4.591037750244141
126.3157894736842,5.059422492980957,1.8895956580614492,9.111893349057212,9.764704530319307,5.0958109265205795,11.400478952075934,9.648664899371337,6.491450617630639
189.4736842105263,5.059422492980957,20.380928363971154,13.578139130710605,15.313677542214817,11.373595541974103,14.92646484335577,22.72767763090755,12.002767204011077
252.6315789473684,5.059422492980957,39.53463669709341,12.491967575043516,13.407232121555788,11.988827569489853,33.70317226073562,92.38043630431014,12.186135578051868
315.7894736842105,5.059422492980957,169.9633485290472,82.22505997011788,103.00428959924378,16.907276560021472,161.56204986803786,169.05314834636812,13.794114393652603
378.9473684210526,9.61133575883127,167.05223864462843,167.83936292989588,59.09259547854464,12.983025854162058,167.59833221968836,173.13973477136034,16.282234852313948
442.10526315789474,12.853506189452832,175.68402793382896,174.6271045929478,167.07036104680734,17.05142091135812,173.26228197487214,179.6758686615464,24.386188190599015
505.2631578947368,15.81991638237206,179.85865952481566,181.8113142578861,170.36155607493228,39.02754075510513,176.08427875960464,196.61507628409666,55.98893895524106
568.421052631579,67.68162551590876,182.81502319323346,195.80470637790347,178.536898854732,35.984861882855,170.89022655182902,225.24761689311936,168.3151598773875
631.578947368421,149.06023548967255,187.2945767503427,218.37054084534378,182.13341756794784,52.826760453748506,179.0270092929516,259.451323069011,172.78940248334118
694.7368421052631,153.56934155424594,194.1234319675031,249.8412721791509,187.3637128659459,29.572862188515863,201.9253233920677,295.4111354354909,179.17308859235177
757.8947368421052,160.12313549641044,206.221982225451,289.3605104687502,189.5101541733081,120.17348693793836,242.48024130077528,336.94708365589696,185.0795970339141
821.0526315789473,169.06186312314838,229.03895179017098,336.9105683396979,196.56060874795693,153.87938328160698,298.1875743485234,370.27961106609257,189.52314683609694
884.2105263157895,185.62229266618272,294.41815185546875,398.2874450683594,203.88868713378906,162.61434936523438,370.925537109375,406.25140380859375,199.97386169433594
947.3684210526316,203.73514268843516,294.41815185546875,398.2874450683594,203.88868713378906,162.61434936523438,370.925537109375,406.25140380859375,199.97386169433594
1010.5263157894736,228.7745572449908,294.41815185546875,398.2874450683594,203.88868713378906,162.61434936523438,370.925537109375,406.25140380859375,199.97386169433594
1073.6842105263158,269.0743656547052,294.41815185546875,398.2874450683594,203.88868713378906,162.61434936523438,370.925537109375,406.25140380859375,199.97386169433594
1136.842105263158,154.7838897705078,294.41815185546875,398.2874450683594,203.88868713378906,162.61434936523438,370.925537109375,406.25140380859375,199.97386169433594
1200.0,154.7838897705078,294.41815185546875,398.2874450683594,203.88868713378906,162.61434936523438,370.925537109375,406.25140380859375,199.97386169433594
