steps,trial_0,trial_1,trial_2,trial_3
0.0,8.867853164672852,8.53947639465332,11.295455932617188,11.363828659057617
63.1578947368421,8.867853164672852,8.53947639465332,11.295455932617188,11.363828659057617
126.3157894736842,8.867853164672852,8.53947639465332,11.295455932617188,11.363828659057617
189.4736842105263,8.867853164672852,8.53947639465332,11.295455932617188,11.363828659057617
252.6315789473684,8.867853164672852,8.53947639465332,11.295455932617188,11.363828659057617
315.7894736842105,9.703945731684339,8.53947639465332,11.880042454701067,11.707098995766016
378.9473684210526,13.40507510204789,8.53947639465332,14.359593076741037,13.176653971076338
442.10526315789474,17.106204472411445,8.53947639465332,16.839143698781008,14.646208946386663
505.2631578947368,69.36515073564132,8.53947639465332,20.817049722540975,28.56811059154338
568.421052631579,129.83824003523793,9.239702685800165,25.059847295866213,44.625957650164864
631.578947368421,165.4566340784139,11.382897331286742,66.18149783198669,68.7651697404855
694.7368421052631,173.81522529852722,13.52609197677332,149.84031405048364,102.09626421726408
757.8947368421052,182.41320975096738,56.99776772886026,227.25931664147456,135.3670541338061
821.0526315789473,193.06235211419056,102.91097464727066,240.69012284301394,168.00001039660305
884.2105263157895,203.71149447741377,147.17208291674496,254.12092904455335,200.63296665940004
947.3684210526316,220.79507236327123,190.20185453052562,262.65024002510955,221.58178040932546
1010.5263157894736,240.2256899657674,229.24187052793678,269.14007590437126,237.68176048398558
1073.6842105263158,260.11020751601757,253.11302246164234,275.25370462822985,253.44531833518244
1136.842105263158,280.8382758633656,276.98417439534785,280.5945218095449,268.5247403753389
1200.0,301.5663442107137,293.2049536680487,285.93533899086003,283.60416241549535
