steps,trial_0,trial_1,trial_2,trial_3
0.0,39.83374786376953,41.61984634399414,41.38739776611328,36.75221252441406
63.1578947368421,39.83374786376953,41.61984634399414,41.38739776611328,36.75221252441406
126.3157894736842,42.0304152283099,43.37873472629053,41.31578136290455,45.82795194665373
189.4736842105263,56.09224751510129,65.21184179393495,47.44794759263789,59.47487744825605
252.6315789473684,62.1460763144548,84.11454758502305,102.18016334700619,109.98386272779682
315.7894736842105,133.61478015470232,84.73297835460161,247.25403661070726,897.4044228283933
378.9473684210526,857.4672865676758,223.489659009172,934.0812545824891,979.8304507222514
442.10526315789474,980.6529838950623,877.5370953736784,971.9928540908161,986.6283245164781
505.2631578947368,987.1837705953844,973.0618346643556,976.7614374941572,987.8760617799982
568.421052631579,989.1401368191156,983.5660856428348,981.3724986290774,988.2051749258303
631.578947368421,988.8016731045102,985.0141479280587,983.8086646884653,989.9406570911615
694.7368421052631,988.7239186917197,986.7795890519062,985.7847717094884,990.1819495314019
757.8947368421052,989.6010828955698,986.9220843672074,987.0118541788802,989.0932919345563
821.0526315789473,990.1677596485572,985.897912886108,987.1934182392455,991.36596935888
884.2105263157895,991.2593361983136,987.1587214662849,988.275431675231,992.1395557565627
947.3684210526316,989.7183013327445,988.0659663946913,988.1882562273161,990.6031675759609
1010.5263157894736,989.7567527130599,988.7591471746701,988.1990022440651,989.9326195547771
1073.6842105263158,988.8029940930041,988.8009287325174,988.8362512116679,991.4886035651334
1136.842105263158,990.5177001953125,988.2578735351562,989.584716796875,989.615234375
1200.0,990.5177001953125,988.2578735351562,989.584716796875,989.615234375
