steps,trial_0,trial_1,trial_2,trial_3,trial_4
0.0,,,,,
63.1578947368421,,,,,
126.3157894736842,,,,,
189.4736842105263,230.73118151613636,230.7500856585773,160.52902972796144,209.69386119324093,157.33805059262917
252.6315789473684,357.0643474342885,356.5990426707656,246.02558360951676,307.1785526283568,243.32092150683948
315.7894736842105,468.9113958342218,454.1329703143713,334.7620086867279,397.0938514398948,329.794993150294
378.9473684210526,522.2539562337257,522.6627500769906,448.3747156664539,442.4559928174789,418.9643234046102
442.10526315789474,575.5965166332296,581.5973067345564,561.98742264618,487.81813419506307,508.13365365892645
505.2631578947368,590.9567307802996,618.0361948776745,528.9376677328027,521.1195243243378,561.7898059680826
568.421052631579,606.2699645535031,652.5863400833213,481.5030738659169,553.5962470238209,613.5447182876048
631.578947368421,628.927491187961,670.6146385799217,521.3366218854381,510.23106639720726,643.3024323550385
694.7368421052631,653.45932687006,688.642937076522,597.0940962508145,438.8309607896875,665.6100803150979
757.8947368421052,673.4664573995078,698.441918073444,642.372473499801,437.71425351016444,681.1653786318495
821.0526315789473,690.4379455959998,707.3749578383728,657.5380651842054,500.1143652047957,691.1225074846913
884.2105263157895,704.2194451809714,716.2114181004548,675.041198446561,551.4789899021297,698.9399189552837
947.3684210526316,713.1883198934906,725.0085760623195,698.0636496655196,579.0162791693965,702.7180552131933
1010.5263157894736,716.9824404370864,728.2815466527518,718.3035472506177,603.9279151328533,707.1515827437967
1073.6842105263158,700.1462669277091,726.4760874684739,712.2619999521136,607.6703574895485,715.4882789522335
1136.842105263158,683.3406527450337,648.1423709989009,706.2204526536094,611.4127998462436,723.8249751606702
1200.0,695.8320353065678,417.86923839959604,723.1467860069913,602.1340871553316,729.7165035344443
